employee_id,name,gender,age,department,designation,joining_date,salary,bonus,projects_assigned,performance_score,training_completed,promotion_eligible,leaves_taken,remote_work_days,skills
, EMILY DAVIS ,F,46 years,finance,Manager,01/15/2020,,,"Project B, Project Z",3.3,,Pending,,0,
114.0,Hannah Martin,female,,Sales;Finance,Manager,15-Jan-2020,,0.17,"Project Y, Project Z",,N/A,No,,,
103.0,FRANK WILSON,f,46,Operations,Intern,20-May-2019,,0.2,Project C,,Y,,,4 days,Excel;Python
194.0,IAN CLARK,,,IT;HR,manager,20-May-2019,,,Project B,2.2,Y,Pending,13,2,
135.0,Bob Johnson,,33,Operations,senior analyst,2019-05-20,51955,,"Project C, Project Z",,No,Pending,,4,"SQL, Tableau"
131.0,Charlie Brown,male,53,hr,manager,20-May-2019,,20%,Project B,3.2,Yes,Pending,,,"python, excel"
128.0,Bob Johnson,male,42 years,Sales;HR,manager,05/20/2019,,0.15,Project X,1.9,,No,,,"python, excel"
117.0,BOB JOHNSON,female,25,Operations,Intern,05/20/2019,,,"Project C, Project Z",2.2,,Pending,17,4,Excel;Python
194.0,FRANK WILSON,,53,IT,manager,2019-05-20,105778,5%,"Project X, Project Z",,Y,Pending,12,,"SQL, Tableau"
113.0,John Doe,,,IT,senior analyst,2019-05-20,105085,18%,"Project C, Project D",,,Yes,,,Excel;Python
186.0, Bob Johnson ,,,hr,senior analyst,15-Jan-2020,,0.12,"Project B, Project Z",4.5,Yes,Yes,11,,"SQL, Tableau"
194.0,EMILY DAVIS,female,,hr,Sr Analyst,20-May-2019,111830,19%,"Project A, Project D",3.6,N/A,Pending,14,4 days,Excel;Python
169.0,Frank Wilson,female,50,finance,Jr Analyst,15-Jan-2020,,0.13,Project C,5.0,N/A,,18,2 days,R;PowerBI
111.0,charlie brown,F,27,Operations,Manager,05/20/2019,40814,10%,Project Y,3.1,,,12,1 days,Excel;Python
175.0, David Miller ,,36,finance,Jr Analyst,01/15/2020,96269,0.16,Project A,,Y,Pending,,,
154.0,Bob Johnson,male,,Finance;IT,Intern,15-Jan-2020,,0.14,"Project B, Project D",,Y,Yes,15,,Excel;Python
104.0, Alice Smith ,F,32 years,HR,manager,2020-01-15,,20%,"Project C, Project D",,Yes,No,,3,R;PowerBI
103.0,FRANK WILSON,F,,Sales;IT,Sr Analyst,2020-01-15,,0.11,"Project C, Project Z",,Yes,No,10,0 days,
111.0,John Doe,,,Operations,Sr Analyst,2020-01-15,31861,0.14,"Project C, Project Z",2.3,N/A,No,20,3 days,Excel;Python
127.0,Grace Lee,f,,IT,Intern,2019-05-20,109144,14%,Project B,3.5,No,Pending,3,1,"SQL, Tableau"
129.0,Charlie Brown,female,45,Operations;HR,Manager,05/20/2019,107564,0.07,Project B,4.3,N/A,No,,5 days,Excel;Python
164.0,Charlie Brown,F,50,HR,Manager,2020-01-15,,,Project Y,,No,Yes,18,3 days,
177.0,Grace Lee,f,,;HR,Jr Analyst,05/20/2019,78466,,Project A,1.7,,Pending,2,,
103.0, Emily Davis ,,37,Sales,Jr Analyst,15-Jan-2020,64242,0.11,Project C,3.1,Y,No,,1,Excel;Python
171.0, david miller ,M,38 years,finance;HR,senior analyst,20-May-2019,93559,0.2,Project X,,,Yes,16,1 days,Excel;Python
125.0,Charlie Brown,f,27,Operations,Jr Analyst,2019-05-20,99125,16%,Project Y,,,No,,2 days,R;PowerBI
191.0,Charlie Brown,M,,HR,Jr Analyst,2019-05-20,74937,0.09,"Project A, Project D",4.5,No,,,4,
183.0,JOHN DOE,M,,finance,manager,2020-01-15,49014,7%,"Project X, Project D",4.3,Y,,,,R;PowerBI
189.0,Charlie Brown,,,hr,Intern,01/15/2020,,14%,"Project X, Project Z",2.3,N/A,Yes,4,,"python, excel"
169.0,Frank Wilson,M,30,HR;Finance,Sr Analyst,01/15/2020,80222,5%,"Project X, Project D",,Y,Yes,,1,
153.0,EMILY DAVIS,M,58 years,Sales,Jr Analyst,20-May-2019,,0.15,Project C,1.6,Yes,,,1,R;PowerBI
128.0,David Miller,female,,,senior analyst,05/20/2019,113568,,Project X,,Y,Yes,,,R;PowerBI
157.0,ALICE SMITH,F,32 years,hr,Jr Analyst,15-Jan-2020,,0.14,"Project X, Project Z",,Yes,Pending,,,"SQL, Tableau"
175.0,DAVID MILLER,,,Sales,manager,2020-01-15,,0.14,"Project Y, Project D",1.4,N/A,Pending,10,,R;PowerBI
135.0,Emily Davis,F,,Sales;IT,Manager,05/20/2019,45203,8%,Project Y,2.8,Yes,,,5 days,
100.0,HANNAH MARTIN,M,30 years,Finance;IT,manager,15-Jan-2020,,,Project C,,No,Pending,15,2 days,"python, excel"
197.0,Frank Wilson,,,Finance,senior analyst,05/20/2019,,0.07,"Project A, Project Z",4.8,Y,Yes,,2,"python, excel"
120.0,hannah martin,F,30,finance;Finance,Manager,01/15/2020,,16%,"Project C, Project Z",3.6,,Yes,,,R;PowerBI
189.0,Emily Davis,M,31,IT;Finance,Sr Analyst,01/15/2020,99798,20%,Project X,2.2,Yes,Pending,4,5 days,R;PowerBI
154.0, John Doe ,F,47,HR,senior analyst,2020-01-15,,11%,"Project Y, Project D",4.3,Yes,,5,2 days,"SQL, Tableau"
143.0, ALICE SMITH ,f,,IT;Finance,senior analyst,01/15/2020,,0.2,Project Y,1.3,N/A,,5,3 days,R;PowerBI
135.0,David Miller,female,46 years,HR,Intern,01/15/2020,,12%,"Project B, Project Z",,Y,Yes,14,0,
119.0,BOB JOHNSON,male,27 years,Operations,Jr Analyst,20-May-2019,,0.14,Project Y,,Yes,,,,"python, excel"
127.0,Ian Clark,M,,hr;HR,senior analyst,20-May-2019,,,Project Y,1.4,N/A,,15,3 days,"SQL, Tableau"
197.0,David Miller,f,51 years,hr,Intern,01/15/2020,,0.11,Project Y,3.9,Y,,,0,"SQL, Tableau"
143.0,John Doe,,42,IT,Sr Analyst,2020-01-15,99501,0.15,"Project X, Project Z",,Yes,Yes,,,"python, excel"
113.0,ALICE SMITH,,,IT,Sr Analyst,2020-01-15,,,Project A,2.5,Yes,No,12,2 days,"SQL, Tableau"
111.0,Ian Clark,f,,finance;IT,Intern,05/20/2019,,0.08,"Project B, Project Z",4.3,Y,No,9,2 days,R;PowerBI
148.0,Frank Wilson,female,35 years,Sales,Sr Analyst,01/15/2020,,0.14,Project Y,1.5,No,,,,"python, excel"
112.0,emily davis,,53 years,hr,senior analyst,01/15/2020,65007,,"Project C, Project D",2.1,Y,No,,4,"SQL, Tableau"
145.0, EMILY DAVIS ,female,40 years,Sales,manager,2019-05-20,,10%,"Project Y, Project Z",4.2,Y,,,,"python, excel"
144.0,Frank Wilson,M,57,,senior analyst,05/20/2019,90438,,"Project A, Project D",4.8,,Yes,18,3,Excel;Python
177.0,ian clark,M,53 years,HR;Finance,Jr Analyst,20-May-2019,118065,,"Project X, Project D",,,Pending,,0,R;PowerBI
133.0,Hannah Martin,f,25,;HR,Sr Analyst,20-May-2019,,0.13,Project C,4.4,No,Yes,16,5 days,"python, excel"
105.0,Alice Smith,f,51,Sales,Jr Analyst,2020-01-15,118829,19%,"Project A, Project Z",,Yes,Pending,,4 days,"SQL, Tableau"
193.0,Frank Wilson,female,50 years,hr,Intern,15-Jan-2020,71060,0.18,"Project Y, Project Z",,Y,Yes,,5 days,Excel;Python
158.0,IAN CLARK,M,22,Finance,Sr Analyst,15-Jan-2020,118185,15%,"Project X, Project D",,No,Pending,,5 days,R;PowerBI
168.0, Charlie Brown ,M,30,Operations;HR,Jr Analyst,01/15/2020,38906,0.18,Project B,2.3,No,Pending,,,R;PowerBI
115.0,DAVID MILLER,f,,hr,Manager,01/15/2020,83903,0.15,Project X,,N/A,No,4,4,
148.0,john doe,,45,,Manager,05/20/2019,98847,12%,Project X,3.5,,Yes,,,"SQL, Tableau"
110.0,Frank Wilson,male,45,Operations,Sr Analyst,2019-05-20,,9%,"Project B, Project D",1.1,Yes,Pending,,,R;PowerBI
170.0,John Doe,f,,Sales,Jr Analyst,2019-05-20,76073,,"Project C, Project Z",,Y,,13,3 days,"SQL, Tableau"
137.0,Hannah Martin,male,,Finance,senior analyst,2020-01-15,,18%,Project B,,No,,,0,"python, excel"
180.0, Hannah Martin ,M,27,IT,Intern,05/20/2019,55307,11%,Project C,1.6,Yes,Yes,2,0 days,"SQL, Tableau"
179.0,CHARLIE BROWN,f,35,HR,manager,15-Jan-2020,33106,0.09,Project Y,,N/A,Yes,9,5,R;PowerBI
146.0,Emily Davis,,30,Sales,senior analyst,2019-05-20,37455,10%,"Project X, Project D",,Y,,6,4 days,R;PowerBI
173.0,Frank Wilson,,55,Sales,senior analyst,15-Jan-2020,108562,20%,"Project B, Project Z",3.6,No,Pending,,,R;PowerBI
124.0,Alice Smith,female,22,finance,manager,05/20/2019,45725,0.1,Project Y,,N/A,,10,0,R;PowerBI
190.0,Emily Davis,F,30 years,Sales,manager,2019-05-20,109257,0.19,"Project Y, Project Z",3.7,N/A,,,,R;PowerBI
108.0,Ian Clark,M,36 years,finance,Jr Analyst,20-May-2019,79277,16%,"Project X, Project D",3.0,N/A,Pending,19,,R;PowerBI
105.0,EMILY DAVIS,M,27,Finance,manager,01/15/2020,44528,,"Project A, Project Z",,Yes,No,,,R;PowerBI
184.0,Alice Smith,f,45 years,IT;HR,Manager,2019-05-20,,,Project C,,Y,,20,0,R;PowerBI
129.0, David Miller ,F,30,hr;IT,manager,2019-05-20,91204,,"Project C, Project D",1.5,Y,,11,,"python, excel"
198.0,Hannah Martin,F,,HR;Finance,Intern,05/20/2019,,13%,"Project X, Project Z",4.6,,No,,2 days,"python, excel"
137.0,David Miller,F,,Finance,senior analyst,2020-01-15,,0.14,"Project X, Project D",,Y,No,,5,"python, excel"
110.0,Frank Wilson,f,50 years,Sales,Intern,20-May-2019,,,"Project Y, Project D",,No,Yes,,2,R;PowerBI
129.0,Emily Davis,f,31 years,finance,Intern,01/15/2020,63729,,Project B,,,Pending,,2 days,"SQL, Tableau"
112.0,frank wilson,male,50,finance,Intern,20-May-2019,,12%,"Project B, Project Z",,N/A,Pending,8,,
148.0, DAVID MILLER ,male,28,HR,Sr Analyst,05/20/2019,,9%,Project A,2.4,Y,Yes,2,,"SQL, Tableau"
135.0,Hannah Martin,male,46 years,Finance,Manager,05/20/2019,,0.12,Project B,,,No,3,5,"SQL, Tableau"
158.0,Bob Johnson,female,49,Finance,manager,01/15/2020,,0.12,Project X,,No,Pending,8,5 days,"SQL, Tableau"
181.0,charlie brown,M,,HR,Intern,20-May-2019,64690,0.1,"Project Y, Project Z",4.2,No,Pending,8,3 days,"SQL, Tableau"
146.0,Frank Wilson,male,,Finance,manager,20-May-2019,87747,0.15,Project A,4.2,Y,,,0,
120.0,Frank Wilson,female,,Finance;HR,Sr Analyst,2020-01-15,94450,,Project Y,4.1,No,Yes,,4,"SQL, Tableau"
147.0,bob johnson,female,,Operations,Jr Analyst,15-Jan-2020,,16%,"Project C, Project D",,N/A,Pending,,4,
145.0,ian clark,f,23,Operations,senior analyst,20-May-2019,,,"Project C, Project D",,,Pending,6,,"python, excel"
126.0,ian clark,F,,,Sr Analyst,05/20/2019,44212,,"Project X, Project Z",4.3,No,Pending,0,,R;PowerBI
185.0,David Miller,,47 years,HR,Jr Analyst,01/15/2020,,0.09,"Project X, Project Z",,Y,Pending,6,2,
134.0,frank wilson,F,37 years,Sales;Finance,senior analyst,01/15/2020,58624,,"Project B, Project D",,Y,Yes,19,,R;PowerBI
189.0,HANNAH MARTIN,male,46,Operations,Intern,2020-01-15,,,"Project C, Project D",5.0,Yes,Yes,4,0,"python, excel"
187.0,John Doe,,53,IT;HR,manager,15-Jan-2020,43538,8%,Project C,,Y,Pending,15,,"python, excel"
182.0,DAVID MILLER,M,22 years,hr,Jr Analyst,01/15/2020,39557,0.11,"Project X, Project D",,,Pending,10,4 days,"SQL, Tableau"
109.0, david miller ,,30 years,HR,Sr Analyst,2020-01-15,,13%,Project A,,N/A,Pending,1,4,R;PowerBI
177.0,charlie brown,,48 years,IT;IT,Manager,01/15/2020,88442,14%,Project B,,,No,,5 days,"SQL, Tableau"
181.0, FRANK WILSON ,M,33 years,finance,Intern,2019-05-20,95234,,"Project X, Project Z",1.6,No,,,3 days,R;PowerBI
121.0,IAN CLARK,M,,Finance,Sr Analyst,05/20/2019,115572,0.17,"Project B, Project D",,N/A,,,,Excel;Python
